MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019micmp3_qm1,blue,frc3542,frc4392,frc6753,74,95,0,12,5,5,5,5,0,5,5,5,27,0,0,0,6,3,12,2,0,21,30,5,5,5,14,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,3,6,1,12,0,62,0,0,2,0,74
2019micmp3_qm1,red,frc3707,frc5424,frc862,95,74,0,12,5,5,5,5,5,5,2,2,27,30,0,0,12,6,12,0,6,30,30,5,5,5,20,0,5,2,5,5,2,2,2,2,2,2,2,2,2,3,3,6,4,12,0,77,0,0,2,0,95
2019micmp3_qm10,blue,frc3452,frc6753,frc3604,75,77,0,15,5,5,5,5,0,5,5,5,30,0,0,0,3,12,3,0,0,18,30,5,5,5,12,0,0,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,1,15,0,60,0,2,0,2,75
2019micmp3_qm10,red,frc2137,frc2619,frc5860,77,75,0,15,2,5,5,0,5,5,5,5,36,30,0,30,0,6,6,0,0,12,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,62,0,5,0,5,77
2019micmp3_qm11,blue,frc3536,frc3767,frc7501,69,65,0,12,5,5,5,0,5,5,5,2,24,0,0,0,12,6,3,0,0,21,30,5,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,6,3,3,3,12,0,57,2,0,0,0,69
2019micmp3_qm11,red,frc4409,frc3542,frc7823,65,69,0,15,5,5,5,0,5,5,5,5,24,0,0,0,3,12,3,0,0,18,30,5,5,5,8,0,5,0,2,0,2,0,0,2,2,2,2,2,2,6,3,6,1,15,0,50,0,0,0,0,65
2019micmp3_qm12,blue,frc5152,frc5712,frc6591,78,80,0,15,2,2,5,2,5,5,5,2,18,0,0,0,3,12,6,0,0,21,30,5,5,5,24,5,2,0,2,2,0,5,2,2,2,2,2,2,2,3,6,6,1,15,0,63,2,0,0,2,78
2019micmp3_qm12,red,frc7553,frc3534,frc7154,80,78,0,15,5,5,5,0,5,5,5,5,33,0,0,0,12,3,3,0,0,18,30,5,5,5,14,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,6,3,3,15,0,65,0,5,0,5,80
2019micmp3_qm13,blue,frc6002,frc4362,frc4377,64,83,0,15,2,2,5,5,0,5,5,5,21,0,0,0,0,12,6,0,0,18,30,5,5,5,10,2,0,2,0,5,0,5,0,2,2,2,2,2,2,3,6,6,1,15,0,49,0,0,0,0,64
2019micmp3_qm13,red,frc5086,frc494,frc862,83,64,0,15,5,5,5,2,2,0,5,5,27,0,0,0,3,6,12,0,0,21,30,5,5,5,20,5,2,5,0,5,2,5,0,2,2,2,2,2,2,6,6,3,3,15,0,68,2,0,2,0,83
2019micmp3_qm14,blue,frc5436,frc4003,frc2619,71,87,0,12,5,5,5,5,2,5,5,5,27,0,0,0,6,12,3,1,3,21,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,1,56,0,0,0,0,71
